SerialNumber,TypeID,Description,LastCheckIn
10261150,24,Rm 3219,10/21/2024 5:17
6802987,17,Rm 323,10/21/2024 7:48
10205313,8,Rm 2111,10/21/2024 7:27
10286983,24,Rm 3202,10/21/2024 7:30
8645677,17,Rm 330,10/21/2024 8:12
10260845,31,Public Restroom by Beauty Shop,10/21/2024 7:55
8803684,16,Rm 207,10/21/2024 7:12
6598061,11,Rm 2104,10/21/2024 8:55
10287604,27,Rm 3319,10/21/2024 7:35
8593971,17,Rm 315,10/21/2024 7:11
10261731,12,Rm 3109,10/21/2024 6:28
8803708,16,Rm 204,10/21/2024 5:35
10261164,24,Rm 3206,10/21/2024 7:17
9134602,12,Rm 3103,10/21/2024 7:11
8803713,16,Rm 212,10/21/2024 6:34
10260840,24,Rm 3203,10/21/2024 7:25
8593102,17,Rm 332,10/21/2024 8:30
10286099,21,Rm 2311 Left,10/21/2024 7:55
8804136,17,Rm 314,10/21/2024 8:20
9134140,16,Rm 222,10/21/2024 8:28
8804297,17,Rm 308,10/21/2024 8:41
10286420,24,Rm 3210,10/21/2024 9:01
10261006,24,Rm 3229,10/21/2024 6:10
9134776,17,Rm 327,10/21/2024 5:59
10286971,24,Rm 3208,10/21/2024 5:12
8804291,17,Rm 321,10/21/2024 8:37
10261269,24,Rm 3231 Right,10/21/2024 7:21
10260657,12,Rm 3113,10/21/2024 5:27
9134683,17,Rm 317,10/21/2024 6:00
10262214,24,Rm 3215,10/21/2024 8:45
8803796,16,Rm 225,10/21/2024 8:11
10261157,31,Public Restroom by Beauty Shop,10/21/2024 7:22
10261278,24,Rm 3227,10/21/2024 6:27
10261165,31,Public Restroom Med Tech,10/21/2024 8:01
10261946,12,Rm 3115,10/21/2024 6:22
10262396,12,Rm 3110,10/21/2024 8:53
10262222,24,Rm 3211,10/21/2024 7:00
10260833,38,Public Restroom by Lounge,10/21/2024 8:06
6491596,11,Rm 2109,10/21/2024 8:06
8804280,16,Rm 227,10/21/2024 7:08
8804300,16,Rm 201,10/21/2024 6:33
8803832,16,Rm 224,10/21/2024 7:32
9134513,12,Rm 3102,10/21/2024 5:42
8861064,22,Rm 2212,10/21/2024 5:28
10205735,18,Rm 203,10/21/2024 5:51
10192520,9,Rm 3110,10/21/2024 8:32
10205061,19,Rm 314,10/21/2024 7:54
10205582,58,Rm 219,10/21/2024 6:12
10205287,7,Rm 104,10/21/2024 5:52
10205558,18,Rm 227 B,10/21/2024 5:38
10205211,49,Rm 2110,10/21/2024 7:51
10192624,18,Rm 227 A,10/21/2024 6:25
10192625,18,Rm 219 B,10/21/2024 5:59
10205714,60,Rm 3102,10/21/2024 5:32
10205910,50,Rm 2214,10/21/2024 6:55
10205911,50,Rm 2206,10/21/2024 6:18
10328994,27,Rm 3311,10/21/2024 6:22
10206111,9,Rm 3107,10/21/2024 7:06
10205081,50,Rm 2203,10/21/2024 8:27
10206466,26,Rm 3223A,10/21/2024 7:15
8804237,17,Rm 307,10/21/2024 8:24
10205830,59,Rm 304,10/21/2024 6:21
10192715,18,Rm 226,10/21/2024 7:26
10192298,51,Rm 2307,10/21/2024 6:17
10192967,19,Rm 334,10/21/2024 6:14
10205160,51,Rm 2303,10/21/2024 5:45
10206794,22,Rm 2209,10/21/2024 8:04
10205808,22,Rm 2217,10/21/2024 6:01
10192184,49,Rm 2103,10/21/2024 8:53
10205825,26,Rm 3218,10/21/2024 7:43
10205921,23,Rm 2314,10/21/2024 7:21
10205049,8,Rm 2103,10/21/2024 9:00
8803798,16,Rm 219,10/21/2024 8:08
10205035,18,Rm 210 A,10/21/2024 8:23
10205699,19,Rm 304,10/21/2024 6:40
10286321,20,Rm 2218,10/21/2024 6:01
10205183,7,Rm 114,10/21/2024 5:32
10205043,19,Rm 307,10/21/2024 7:41
8804279,17,Rm 310,10/21/2024 8:31
10238014,25,Rm 3320,10/21/2024 9:08
10206247,7,Rm 109,10/21/2024 8:56
10286197,21,Rm 2316,10/21/2024 7:01
10206400,26,Rm 3211,10/21/2024 6:35
10205006,26,Rm 3216,10/21/2024 6:41
10204985,18,Rm 217 B,10/21/2024 6:16
10205806,59,Rm 331,10/21/2024 5:26
10237912,25,Rm 3321,10/21/2024 5:22
8803700,16,Rm 209,10/21/2024 5:48
10192974,19,Rm 331,10/21/2024 6:47
10205171,7,Rm 108,10/21/2024 5:35
10192975,18,Rm 201 B,10/21/2024 5:49
10205530,18,Rm 228,10/21/2024 8:32
9949521,20,Rm 2214,10/21/2024 6:13
8803816,16,Rm 210,10/21/2024 7:12
8803701,16,Rm 217,10/21/2024 6:56
10206750,57,Rm 102,10/21/2024 6:05
10328605,62,Rm 3306,10/21/2024 5:59
10261694,17,Rm 303,10/21/2024 5:29
8804262,17,Rm 311,10/21/2024 7:36
10205124,50,Rm 2202,10/21/2024 6:55
10261547,10,Rm 120,10/21/2024 5:24
10328337,27,Rm 3325,10/21/2024 8:09
8804266,17,Rm 319,10/21/2024 6:37
10205070,50,Rm 2209,10/21/2024 6:22
10192222,51,Rm 2304,10/21/2024 7:48
10205818,59,Rm 306,10/21/2024 5:31
10262173,17,Rm 304,10/21/2024 5:52
10205681,60,Rm 3108,10/21/2024 7:43
10192197,8,Rm 2102,10/21/2024 8:06
10205028,18,Rm 211,10/21/2024 8:08
10260627,52,Rm 2311 Right,10/21/2024 6:56
10192628,19,Rm 302,10/21/2024 7:19
10205913,23,Rm 2305,10/21/2024 6:03
10261997,10,Rm 114,10/21/2024 6:46
10262166,52,Rm 2309 Left,10/21/2024 8:41
10205027,19,Rm 308,10/21/2024 8:27
10205075,51,Rm 2301,10/21/2024 5:35
8637932,17,Rm 329,10/21/2024 7:28
10238020,25,Rm 3312,10/21/2024 8:12
10205793,20,Rm 2204,10/21/2024 6:36
10205025,7,Rm 120,10/21/2024 6:57
10205653,19,Rm 301,10/21/2024 7:58
10192968,23,Rm 2307,10/21/2024 7:18
10205805,22,Rm 2219,10/21/2024 7:42
10192187,18,Rm 215,10/21/2024 6:00
10329494,61,Rm 3225,10/21/2024 9:00
8804253,17,Rm 312,10/21/2024 5:48
10205673,19,Rm 330,10/21/2024 8:14
10205927,19,Rm 322,10/21/2024 8:04
10205044,18,Rm 225 A,10/21/2024 8:34
10286196,25,Rm 3311 Left,10/21/2024 9:07
10205163,8,Rm 2117,10/21/2024 8:14
10262097,25,Rm 3310,10/21/2024 6:04
10286091,21,Rm 2309 Right,10/21/2024 5:36
10192238,18,Rm 217 A,10/21/2024 7:18
10329490,27,Rm 3320,10/21/2024 9:03
10205096,23,Rm 2317,10/21/2024 8:35
10192496,18,Rm 210 B,10/21/2024 6:17
10328443,27,Rm 3301,10/21/2024 5:29
8804234,16,Rm 203,10/21/2024 8:35
10192516,23,Rm 2308,10/21/2024 7:53
10205018,59,Rm 307,10/21/2024 7:31
6598035,11,Rm 2105,10/21/2024 5:33
8637791,17,Rm 328,10/21/2024 7:19
10205057,18,Rm 224,10/21/2024 7:17
10205019,19,Rm 310,10/21/2024 5:53
6683337,11,Rm 2117,10/21/2024 8:05
9950547,20,Rm 2210,10/21/2024 7:03
8804241,17,Rm 320,10/21/2024 7:01
10206725,19,Rm 326,10/21/2024 7:20
10192962,9,Rm 3105,10/21/2024 8:41
10205040,19,Rm 324,10/21/2024 7:16
